symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TCS,2013-11-01 00:00:00+00:00,36.2,37.0,32.1,35.0,14667600,34.0585915493,34.8112676056,30.2011267606,32.9295774648,14667600,0.0,1.0
TCS,2013-11-04 00:00:00+00:00,35.35,36.8,34.69,36.8,1586600,33.2588732394,34.6230985915,32.637915493,34.6230985915,1586600,0.0,1.0
TCS,2013-11-05 00:00:00+00:00,35.35,35.5,34.821,35.11,337700,33.2588732394,33.4,32.7611661972,33.0330704225,337700,0.0,1.0
TCS,2013-11-06 00:00:00+00:00,35.9,36.49,35.61,35.61,549600,33.7763380282,34.3314366197,33.5034929577,33.5034929577,549600,0.0,1.0
TCS,2013-11-07 00:00:00+00:00,35.31,36.8,34.12,36.8,883700,33.2212394366,34.6230985915,32.1016338028,34.6230985915,883700,0.0,1.0
TCS,2013-11-08 00:00:00+00:00,34.95,35.46,34.73,35.3,488300,32.8825352113,33.3623661972,32.6755492958,33.2118309859,488300,0.0,1.0
TCS,2013-11-11 00:00:00+00:00,34.24,35.35,33.92,35.35,430500,32.2145352113,33.2588732394,31.9134647887,33.2588732394,430500,0.0,1.0
TCS,2013-11-12 00:00:00+00:00,33.99,34.54,33.7501,34.54,331400,31.9793239437,32.4967887324,31.7536152113,32.4967887324,331400,0.0,1.0
TCS,2013-11-13 00:00:00+00:00,34.15,34.5,33.05,33.5,419500,32.1298591549,32.4591549296,31.0949295775,31.5183098592,419500,0.0,1.0
TCS,2013-11-14 00:00:00+00:00,33.65,34.25,33.54,34.15,586300,31.6594366197,32.223943662,31.555943662,32.1298591549,586300,0.0,1.0
TCS,2013-11-15 00:00:00+00:00,33.55,33.85,33.33,33.75,924200,31.5653521127,31.8476056338,31.3583661972,31.7535211268,924200,0.0,1.0
TCS,2013-11-18 00:00:00+00:00,37.64,38.32,34.28,34.75,669600,35.4134084507,36.0531830986,32.2521690141,32.6943661972,669600,0.0,1.0
TCS,2013-11-19 00:00:00+00:00,35.16,38.1291,34.95,37.78,815300,33.0801126761,35.8735757746,32.8825352113,35.5451267606,815300,0.0,1.0
TCS,2013-11-20 00:00:00+00:00,34.14,35.98,33.75,35.98,417600,32.1204507042,33.8516056338,31.7535211268,33.8516056338,417600,0.0,1.0
TCS,2013-11-21 00:00:00+00:00,35.19,35.3,34.28,34.95,394400,33.1083380282,33.2118309859,32.2521690141,32.8825352113,394400,0.0,1.0
TCS,2013-11-22 00:00:00+00:00,37.36,37.598,35.27,35.6,434800,35.149971831,35.3738929577,33.1836056338,33.494084507,434800,0.0,1.0
TCS,2013-11-25 00:00:00+00:00,38.2,39.0,37.76,37.99,60200,35.9402816901,36.6929577465,35.5263098592,35.7427042254,60200,0.0,1.0
TCS,2013-11-26 00:00:00+00:00,40.06,40.3,38.71,39.1,789700,37.6902535211,37.916056338,36.4201126761,36.7870422535,789700,0.0,1.0
TCS,2013-11-27 00:00:00+00:00,40.48,41.5,40.35,41.14,413600,38.0854084507,39.0450704225,37.9630985915,38.7063661972,413600,0.0,1.0
TCS,2013-11-29 00:00:00+00:00,40.69,41.7,40.5,41.34,169900,38.2829859155,39.2332394366,38.1042253521,38.8945352113,169900,0.0,1.0
TCS,2013-12-02 00:00:00+00:00,43.09,43.52,41.28,41.6,458500,40.5410140845,40.9455774648,38.838084507,39.1391549296,458500,0.0,1.0
TCS,2013-12-03 00:00:00+00:00,43.13,43.69,42.22,43.5,355400,40.5786478873,41.1055211268,39.7224788732,40.9267605634,355400,0.0,1.0
